content_groups,title,watchers_prev_mtd,watchers_this_mtd,plays_prev_mtd,plays_this_mtd,duration_prev_mtd,duration_this_mtd,rn1,rn2
Kids,Masha and The Bear,20765,32458,56824,97485,447935.35,905093.78333333333,1,1
Kids,Simba The Lion King - Kekompakan,14764,1830,23480,3760,260025.13333333333,64492.95,68,2
Kids,Tayo The Little Bus,14183,16342,42229,52157,418529.05,476454.93333333335,3,3
Kids,Pororo - The Little Penguin,13696,14942,32748,45655,211857.9,252631.2,4,4
Kids,Kastari Animation,13370,4828,25821,11173,138734.75,112012.75,17,5
Kids,Lagu Bermain dan Belajar,13151,4493,27186,9756,167872.11666666667,68187.5,20,6
Kids,Baby Bus - Seri Lagu Anak-anak Teratas,11031,6634,54482,38520,291135.56666666665,493155.33333333331,8,7
Kids,RIRI Cerita Rakyat ,9424,2230,22468,6520,145463.88333333333,48005.583333333336,52,8
Kids,Keluarga Somat - Special Disiplin,9145,4225,17092,8942,126965.4,127074.13333333333,23,9
Kids,Simba The Lion - Edukasi Alam  ,8941,823,11821,1226,75390.96666666666,12505.75,117,10
Kids,Baby Bus - Seri Mobil Monster,8795,4477,54815,20039,645477.58333333337,148190.35,21,11
Kids,Keluarga Somat Idul Fitri,8411,4846,18407,11225,137630.68333333332,72540.133333333331,16,12
Kids,Simba The Lion King - Spesial The King,8322,2045,14942,4158,168845.45,53188.98333333333,56,13
Kids,Pat a Pat Como,7815,5991,32490,26359,617203.05,375632.55,9,14
Kids,Thomas & Friends,7422,1614,13785,4129,95816.15,21110,80,15
Kids,Keluarga Somat - Special Penjelajah,6680,1984,13187,4763,122157.46666666666,65838.5,61,16
Kids,Baby Bus - Seri Team Penyelamat ,5915,14005,22708,41624,351617.5,457351.31666666665,5,17
Kids,Baby Bus - Lagu Top Anak - Anak,5817,3356,24473,16457,132071.2,156886.28333333333,34,18
Kids,Hp Si Dudung,5705,1219,8541,1971,31186.5,17941.05,95,19
Kids,Diva The Series,5638,3369,13615,9310,111050,76316.75,33,20
Kids,Keluarga Somat - Special Melawan Alien,5582,4860,11492,9886,106407.75,95536.766666666663,15,21
Kids,Keluarga Somat - Special Pak Somat,5409,3206,10711,7182,89466,63517.25,36,22
Kids,Asal Usul Cerita Raja,5292,1931,11413,4349,79895.35,29410.4,62,23
Kids,Keluarga Somat - Special Rajin Sekolah,4953,1777,11211,4245,87246.5,73658.75,71,24
Kids,Baby Bus - Seri Kebiasaan Baik & Tata Krama,4714,3896,12615,17722,49607.01666666667,351293.25,26,25
Kids,KARL Animated Series,4524,2786,11342,7091,82831.633333333331,61468.75,41,26
Kids,Keluarga Somat - Special Kebersamaan,4418,1414,11898,5030,103040.45,156956.75,89,27
Kids,Baby Bus - Seri Klasifikasi Sampah,4399,2428,7361,3247,52154.883333333331,7391.25,49,28
Kids,Baby Bus - Seri Makanan,4291,1709,24702,9283,221720.45,58703.883333333331,78,29
Kids,Baby Bus - Seri Kehidupan Sehari-Hari Untuk Anak-Anak,4257,3053,12009,10196,54420.666666666664,108844.95,38,30
Kids,Baby Bus - Seri Dinosaurus,4110,3494,7059,5712,35312.25,47215,29,31
Kids,Keluarga Somat - Special Dudung,4056,2645,12365,9543,189477.93333333332,168604.46666666667,45,32
Kids,Baby Bus - Kiat Keamanan Anak - Anak,4018,2771,22854,11332,108923,70654.883333333331,42,33
Kids,Baby Bus - Seri Lagu Pekerjaan,3979,5952,23082,41447,83373.416666666672,835159.43333333335,10,34
Kids,Ori Princess,3972,2230,12933,3014,154065.25,13217.5,53,35
Kids,Shaun the Sheep,3877,8402,9868,22460,78164,183327.75,6,36
Kids,Baby Bus - Top Song For Kids,3845,1820,12254,8289,34135.666666666664,166149.5,69,37
Kids,Baby Bus - Karakter Tiongkok Luar Biasa,3801,4408,14960,27920,157968,804065.5,22,38
Kids,Barbie Dreamtopia,3786,5651,6945,11707,41666.833333333336,92912.35,12,39
Kids,Keluarga Somat - Special Tahun Baru,3767,1565,6509,3149,48695.25,36411.5,82,40
Kids,Timmy Time,3614,5461,8432,12206,184503.75,80475.166666666672,14,42
Kids,Keluarga Somat - Special Liburan,3557,1994,9553,6165,129690.43333333333,137466.31666666668,58,43
Kids,Keluarga Somat - Internet,3447,1993,6930,4630,67788.75,48393,59,44
Kids,Baby Bus - Seri Halloween,3426,1729,5543,2477,25346.25,8337,74,45
Kids,Baby Bus - Seri Kendaraan,3372,1869,16821,11303,92148.483333333337,157560.95,64,46
Kids,Keluarga Somat Ramadan,3319,2331,7796,6188,62999.666666666664,46870.916666666664,51,47
Kids,Petualangan Si Unyil,3233,1674,8159,4292,45133.35,27000,79,48
Kids,Baby Bus - Lagu Anak-anak Klasik Terpopuler,3173,4057,5337,7794,24880.5,57195.25,24,49
Kids,EggRoy,3137,1466,6525,3038,42810.5,15272,88,50
Kids,Baby Bus - Seri Kereta Api Kecil,3125,5461,6743,14081,48615,134863,13,51
Kids,BaLiTa Seri Hewan,3045,1805,8047,5567,17170,26235.283333333333,70,52
Kids,Uwa and Friends,2907,2720,8506,8512,33964.083333333336,41502,43,53
Kids,Kisah Legenda Putri,2870,1189,6362,2883,49180.916666666664,19384.25,99,54
Kids,Como & Toys,2834,2927,8989,11013,58484.5,108091.25,40,55
Kids,Baby Bus - Seri Bakteri,2730,2662,16354,13549,186236.5,162936.75,44,56
Kids,Belajar Yuk!,2646,610,4439,973,59419.5,3656.5,131,57
Kids,Baby Bus - Kognisi Anak,2528,3252,7460,8670,37577.5,23862,35,58
Kids,Salman Dan Sofia,2519,902,4858,1855,31199.783333333333,8655,115,59
Kids,Keluarga Somat - Special Bu Inah,2459,1191,4162,1889,43564.75,11219.75,98,60
Kids,Drive Head,2452,1774,10364,8542,187886.25,160887,72,61
Kids,Salman & Sofia,2153,1226,6956,2317,53624.833333333336,7789.25,93,62
Kids,Oops I-Kooo,2113,1481,6825,4145,44311.25,26108.5,87,63
Kids,Baby Bus - Kebiasaan Baik,2096,1847,9031,8772,56569.15,104203.5,66,64
Kids,Baby Bus - Belajar Harian Untuk Anak-Anak,2094,3433,4891,8233,17214,124816,30,65
Kids,Baby Bus - Seri Hari Natal,2025,1723,6411,3931,19921.25,8299.7666666666664,76,66
Kids,Dongaebi,1992,1992,4290,4032,54000.5,21612,60,67
Kids,Baby Bus - Seri Melindungi Lingkungan,1905,2469,2903,3417,6085.25,16241.75,48,68
Kids,JooJoo & Roobi,1886,1587,3232,4013,11870.25,66413.75,81,69
Kids,Ollie and Friends,1885,3200,4164,7114,44604.85,43797.45,37,70
Kids,Baby Bus - Lagu Pekerjaan Anak-Anak,1841,2979,7632,13890,40469.75,162205.68333333332,39,71
Kids,Baby Bus - Lagu Tema Babybus,1790,1908,2828,2912,5624.75,14503.25,63,72
Kids,Dongeng Anak,1745,1833,2597,2425,45020.433333333334,13118.5,67,73
Kids,BaLiTa Official ,1655,1149,7122,4311,21152,24559.183333333334,101,75
Kids,Bellbug Popo,1620,1231,7902,4557,392933.16666666669,59517.283333333333,92,76
Kids,Baby Bus -  Kebiasaan Baik Sehari-hari,1584,1711,4550,4471,19967.033333333333,10858,77,77
Kids,Banana Doong Doong,1574,3843,10390,29406,86634.5,373140.75,27,78
Kids,Simba The Lion King,1531,2400,2441,3751,40705.75,39849.25,50,79
Kids,Como and Songs,1524,2640,6162,8441,60956.433333333334,93394.25,46,80
Kids,Dragon Warrior,1503,570,6912,2905,80112,29391.25,135,81
Kids,Baby Bus - Seri Pengetahuan Keamanan,1494,793,3407,2677,14874.966666666667,9443,120,82
Kids,Lagu Anak Indonesia TV,1442,4041,3756,9385,22064,37837.883333333331,25,83
Kids,The Powerpuff Girls,1419,1516,2107,2430,14515.75,16093.5,85,84
Kids,Barney & Friends,1295,1043,2520,2310,36822.25,20808,107,85
Kids,Lagu Anak Indonesia TV - Lagu Anak Terpopuler,1269,2207,3158,5636,12297.283333333333,24413.2,54,86
Kids,Evan Ziva,1219,2118,2510,4109,19621.95,20083.95,55,87
Kids,Ayo Menggambar,1197,708,2378,1358,27680,5850.75,124,90
Kids,Petok Si Ayam Kampung,1180,991,2850,2758,45016,22420.75,108,91
Kids,BaLiTa Makanan Sehat,1151,1997,2648,4241,4839.3833333333332,11766.683333333332,57,92
Kids,Tutu Town,1098,804,2551,1674,30958.5,9967.5,119,93
Kids,Baby Bus - Tim Penyelamat Super Panda,1039,3642,3317,11950,9751,49203.75,28,94
Kids,Baby Bus - Rhymes for Kids,1038,707,1618,1018,3104,4326,125,95
Kids,Peppa Pig,1026,1750,4019,5492,88960,42230.25,73,96
Kids,"how to draw upin ipin, (cara menggambar upin ipin)",1024,970,1273,1174,1756.5,1470.5,110,97
Kids,Lagu Anak Islami - Sholat 5 Waktu - Lagu Anak Indonesia - Nursery Rhymes,999,936,1241,1154,2179,1952.75,114,98
Kids,Simba The Lion King - Pertarungan,984,944,1974,1846,55063.25,24326.25,113,99
Kids,Kisah Binatang,905,1550,1675,2735,11161,21708.8,84,102
Kids,Manfaat Api Yang Anak-Anak Mesti Ketahui | Video Edukasi Anak,137,1552,170,2092,233.5,2919,83,183
Kids,Playtime at The Playground - Nursery Rhymes and Kids Songs - Kids Star TV - أغنية للأطفال,23,1496,39,2090,92,4284.75,86,480
Kids,Baby Bus - Food Series,0,23550,0,60219,0,661652.5,2,2786
Kids,Doby Disy: Petualangan,0,7367,0,11547,0,86798,7,2787
Kids,Bea Beo,0,5737,0,13582,0,75090.5,11,2788
Kids,Shutterbugs - Kehidupan Kota Murky Marsh,0,4731,0,7172,0,36200.5,18,2789
Kids,Doby Disy: Kasih Sayang,0,4597,0,6911,0,77605.5,19,2790
Kids,Baby Bus - Super Panda Rescue Team,0,3400,0,6094,0,66060.5,31,2791
Kids,Doby Disy: Melihat Keajaiban,0,3382,0,4743,0,31336.75,32,2792
Kids,Cerdas dan Saleh Hafiz & Hafizah,0,2632,0,6403,0,47917.683333333334,47,2793
Kids,Perilaku Baik Hafiz & Hafizah,0,1861,0,4104,0,4109,65,2794
Kids,Doby Disy: Bersenang senang,0,1728,0,2297,0,26787.766666666666,75,2795
Kids,Ori Princess: Cerita Si Kaisar,0,1289,0,2115,0,20416,90,2796
Kids,Ori Princess: Cassie dan Hewan Liar,0,1279,0,2869,0,50709.25,91,2797
Kids,Ori Princess: Acara Kekaisaran,0,1220,0,2611,0,34357.75,94,2798
Kids,Lagu Anak Indonesia - Pepaya,0,1216,0,2650,0,4809.75,96,2799
Kids,Kegiatan Sehari-Hari Hafiz & Hafizah,0,1203,0,2834,0,3027.5,97,2800
Films,Penthouse,97687,86086,718210,710087,15674800.016666668,17524216.5,1,1
Films,Diet Ekstrim Bucin Sejati,33579,1105,57920,1251,1220322.5333333334,779,193,2
Films,Hotel del Luna,18738,8870,93962,27756,2236599.9833333334,587031.85,15,3
Films,Descendants of the Sun,17215,21465,111080,155902,2191452.2,3191724.9833333334,5,4
Films,Ashes of Love,14618,8158,31567,18416,402041,203772.25,19,5
